Category: All categories

Region,parents hate me: (2010)
Idaho,
West Virginia,
Alabama,
Indiana,
Colorado,
South Carolina,
District of Columbia,
Michigan,
Wisconsin,
Georgia,
Missouri,
Pennsylvania,
Illinois,100
New Jersey,
Florida,75
Texas,50
Arizona,
New York,50
California,25
Virginia,
Alaska,
Arkansas,
Connecticut,
Delaware,
Hawaii,
Iowa,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Minnesota,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Ohio,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Vermont,
Washington,
Wyoming,
