Category: All categories

Region,poisoning: (2018)
Hawaii,100
Maine,99
Montana,98
North Dakota,98
West Virginia,96
Alaska,95
Indiana,95
Ohio,95
Washington,93
Michigan,93
Pennsylvania,93
Missouri,92
Idaho,91
New Hampshire,91
Colorado,89
Wyoming,89
Vermont,88
South Dakota,88
South Carolina,88
Arizona,88
Kentucky,87
North Carolina,87
Oregon,86
Illinois,86
Nebraska,86
Utah,84
Rhode Island,84
Tennessee,84
Minnesota,84
Oklahoma,84
Iowa,83
New Mexico,83
Arkansas,82
Wisconsin,82
Virginia,81
Delaware,81
Connecticut,81
Alabama,80
Massachusetts,80
Kansas,80
Maryland,79
Florida,79
Georgia,78
California,77
Mississippi,76
New York,75
Nevada,74
Texas,74
New Jersey,71
District of Columbia,71
Louisiana,68
