Category: All categories

Region,ptsd: (2021)
Vermont,100
Alaska,96
North Dakota,96
Arkansas,95
New Mexico,93
Wyoming,90
North Carolina,90
Montana,89
Washington,88
Virginia,87
Delaware,87
West Virginia,87
Maine,86
Indiana,85
Ohio,85
Maryland,84
Hawaii,84
Massachusetts,83
Arizona,82
Idaho,82
California,82
Illinois,82
New Hampshire,81
Rhode Island,81
Utah,81
District of Columbia,81
Tennessee,79
South Dakota,79
Mississippi,79
Colorado,78
Minnesota,78
Oklahoma,78
Oregon,77
Pennsylvania,76
Kentucky,76
Kansas,75
Texas,75
Georgia,74
Wisconsin,74
Florida,74
Connecticut,74
Nebraska,73
Iowa,72
Louisiana,72
Nevada,70
Missouri,70
Alabama,68
South Carolina,68
New Jersey,67
New York,66
Michigan,64
