Category: All categories

Region,queer: (2010)
Maine,100
Rhode Island,97
New Hampshire,96
Oregon,96
Massachusetts,90
New York,80
Indiana,76
California,75
Connecticut,75
Kansas,74
New Mexico,74
Wisconsin,73
Washington,72
Nevada,72
Pennsylvania,71
South Carolina,71
Montana,71
District of Columbia,71
Nebraska,69
Kentucky,68
Idaho,67
Louisiana,65
Ohio,65
Illinois,65
West Virginia,65
Minnesota,64
Hawaii,64
Alabama,64
Maryland,64
New Jersey,63
North Carolina,62
Missouri,62
Michigan,61
Mississippi,61
Utah,61
South Dakota,60
Colorado,58
Wyoming,58
Alaska,57
Florida,57
Texas,57
North Dakota,57
Virginia,56
Georgia,56
Arizona,56
Delaware,55
Vermont,54
Iowa,54
Oklahoma,52
Arkansas,52
Tennessee,52
