Category: All categories

Region,sad music: (2012)
South Dakota,100
Utah,95
West Virginia,83
Maine,80
New Hampshire,75
Idaho,71
Oregon,71
Iowa,69
Arkansas,62
Kentucky,59
Indiana,57
Rhode Island,57
Hawaii,56
Connecticut,56
South Carolina,54
New Jersey,54
Wyoming,
Pennsylvania,53
Vermont,51
Tennessee,51
Nebraska,51
Ohio,50
Washington,50
Nevada,50
Virginia,48
Wisconsin,46
Colorado,46
Alabama,46
Arizona,46
Massachusetts,45
Michigan,45
Montana,45
Minnesota,45
Oklahoma,45
North Dakota,42
Louisiana,42
California,42
Kansas,40
New Mexico,40
Texas,39
New York,39
Alaska,
Georgia,39
North Carolina,37
Missouri,37
Illinois,37
Maryland,36
Florida,36
Delaware,31
Mississippi,30
District of Columbia,21
