Category: All categories

Region,self-injury: (2019)
New Hampshire,
South Dakota,
Montana,
Maine,
Oregon,
West Virginia,
Kansas,
Louisiana,
Rhode Island,
Massachusetts,100
Oklahoma,
Connecticut,
Tennessee,
Alabama,
Arizona,
Kentucky,
Indiana,
Ohio,
California,50
New Jersey,
New York,50
Michigan,
Florida,50
Georgia,
Washington,
Pennsylvania,<1
North Carolina,<1
Wisconsin,
Virginia,<1
Texas,<1
Colorado,
Minnesota,
Illinois,<1
Alaska,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Maryland,
Missouri,
Mississippi,
North Dakota,
Nebraska,
New Mexico,
Nevada,
South Carolina,
Utah,
Vermont,
Wyoming,
