Category: All categories

Region,Self harm: (2013)
West Virginia,100
Maine,95
Delaware,88
Alaska,87
Connecticut,82
Kentucky,81
Indiana,79
Rhode Island,78
Ohio,76
South Dakota,74
New Mexico,74
Iowa,73
Utah,73
Wyoming,72
New Hampshire,72
Pennsylvania,71
Oklahoma,70
Wisconsin,70
Idaho,70
Vermont,68
Missouri,68
Michigan,67
Tennessee,66
Alabama,66
Arkansas,65
Kansas,65
Montana,65
Nebraska,64
Colorado,63
New Jersey,62
North Dakota,61
Illinois,61
Nevada,60
Arizona,59
Virginia,59
Minnesota,59
Massachusetts,58
Louisiana,58
South Carolina,55
North Carolina,54
Maryland,53
Washington,52
Mississippi,52
Georgia,51
Florida,48
Texas,46
New York,45
California,43
Hawaii,39
Oregon,39
District of Columbia,34
