Category: All categories

Region,sexual abuse: (2007)
Iowa,100
Maine,88
Hawaii,81
Kentucky,77
New Mexico,75
Vermont,75
South Dakota,74
Mississippi,72
Tennessee,71
Oklahoma,71
Utah,69
Rhode Island,69
Alabama,68
North Dakota,67
Minnesota,66
Arkansas,66
Oregon,66
South Carolina,65
Indiana,65
Alaska,63
Wyoming,62
Maryland,61
North Carolina,61
New Hampshire,61
Illinois,60
Michigan,60
Colorado,60
Pennsylvania,58
Idaho,58
Missouri,57
Delaware,55
Washington,55
Wisconsin,55
West Virginia,55
Virginia,55
Ohio,54
Louisiana,53
Arizona,53
Nebraska,52
New York,52
Texas,50
Kansas,49
Connecticut,49
New Jersey,48
Massachusetts,48
Georgia,45
Nevada,44
Florida,44
District of Columbia,42
Montana,41
California,36
