Category: All categories

Region,sin: (2014)
Nevada,100
Texas,98
Oregon,97
Virginia,94
New York,93
California,89
Florida,86
Kansas,83
Arizona,81
New Jersey,81
District of Columbia,81
Georgia,80
Alabama,74
North Carolina,72
Oklahoma,72
Washington,70
Maryland,70
Illinois,68
New Mexico,68
South Carolina,68
Massachusetts,67
Colorado,67
Rhode Island,67
Connecticut,67
Indiana,66
Arkansas,66
Mississippi,65
Pennsylvania,64
Kentucky,64
West Virginia,63
Alaska,63
Ohio,63
Delaware,63
Louisiana,63
Utah,62
Tennessee,62
Missouri,61
Michigan,61
Idaho,57
Minnesota,57
Hawaii,56
Wisconsin,55
Nebraska,54
Montana,54
Wyoming,53
South Dakota,52
North Dakota,51
Vermont,48
Iowa,48
New Hampshire,48
Maine,46
