Category: All categories

Region,single: (2014)
Vermont,100
Maryland,96
Arkansas,95
New Mexico,95
Louisiana,93
West Virginia,92
Pennsylvania,92
Tennessee,90
Mississippi,90
South Carolina,89
New Hampshire,89
Idaho,89
North Carolina,89
Utah,89
Kentucky,89
Indiana,88
Nebraska,88
Alabama,88
Oklahoma,87
Ohio,87
Massachusetts,86
Michigan,86
California,85
Colorado,84
Rhode Island,84
Missouri,84
Connecticut,84
Georgia,84
Illinois,84
Texas,83
Wyoming,83
Iowa,83
Minnesota,83
Maine,83
Washington,83
Wisconsin,82
New Jersey,82
Florida,82
Delaware,82
Kansas,81
Nevada,81
Arizona,80
District of Columbia,80
Montana,79
South Dakota,79
Hawaii,78
New York,77
North Dakota,77
Alaska,76
Virginia,74
Oregon,63
