Category: All categories

Region,smoking: (2016)
West Virginia,100
Kentucky,98
Indiana,95
Tennessee,93
Missouri,93
Nebraska,91
Vermont,91
Colorado,90
Maine,90
Michigan,90
South Dakota,88
Minnesota,88
Ohio,88
Mississippi,87
Pennsylvania,87
Wyoming,87
Georgia,87
Oklahoma,86
South Carolina,86
North Dakota,85
Illinois,84
Iowa,84
Nevada,84
Alaska,84
Kansas,84
Oregon,83
North Carolina,83
Virginia,83
Washington,82
New Hampshire,82
Arizona,82
Alabama,82
Louisiana,81
Connecticut,81
Arkansas,80
New York,79
Massachusetts,79
New Jersey,79
California,79
Montana,79
Florida,78
Rhode Island,77
Wisconsin,77
District of Columbia,77
Texas,76
Delaware,73
Maryland,72
Idaho,71
New Mexico,70
Utah,67
Hawaii,63
