Category: All categories

Region,stress: (2018)
Connecticut,100
New Jersey,99
Indiana,99
Iowa,96
Kansas,94
Michigan,93
Missouri,93
Massachusetts,93
Virginia,93
Maryland,91
North Dakota,91
Vermont,90
Ohio,90
Wisconsin,90
Pennsylvania,90
Illinois,89
South Dakota,89
New York,89
Oregon,87
Kentucky,87
Louisiana,86
Tennessee,85
Minnesota,85
California,85
New Hampshire,84
Arkansas,84
Georgia,84
Arizona,84
Delaware,84
South Carolina,83
Utah,83
Mississippi,83
Colorado,83
Alabama,82
Maine,81
West Virginia,81
Washington,80
Oklahoma,80
Texas,80
Alaska,80
North Carolina,79
Wyoming,79
New Mexico,79
Rhode Island,79
Florida,77
Nebraska,75
Montana,75
Idaho,73
District of Columbia,72
Nevada,72
Hawaii,69
