Category: All categories

Region,suicide attempt: (2016)
Washington,100
Mississippi,91
Oklahoma,85
Ohio,85
Missouri,85
Iowa,82
Connecticut,82
Idaho,82
South Dakota,
Michigan,79
Colorado,79
Virginia,79
Nebraska,79
Alaska,
Tennessee,79
Arkansas,76
District of Columbia,
Hawaii,76
Pennsylvania,76
Utah,73
Wisconsin,73
South Carolina,73
Maryland,73
Massachusetts,70
New Jersey,70
Maine,70
Nevada,70
Arizona,70
Indiana,70
Oregon,67
Vermont,
North Carolina,67
Illinois,67
Kentucky,67
Montana,
California,64
Minnesota,61
Alabama,61
New York,61
Louisiana,61
Texas,61
West Virginia,61
New Mexico,61
New Hampshire,58
Georgia,58
Kansas,55
Florida,52
Rhode Island,50
North Dakota,
Delaware,35
Wyoming,
