Category: All categories

Region,tie a noose: (2008)
Nevada,100
Vermont,
Oklahoma,40
Oregon,38
South Carolina,36
Hawaii,
Kentucky,29
Connecticut,27
Minnesota,25
Arkansas,25
Illinois,23
New York,19
New Jersey,19
Wisconsin,17
Missouri,17
Pennsylvania,17
Massachusetts,17
North Carolina,17
Tennessee,17
California,14
Michigan,14
Virginia,12
Colorado,12
Texas,12
Georgia,12
Arizona,12
Ohio,12
Washington,12
Florida,6
District of Columbia,
Alaska,
Alabama,
Delaware,
Iowa,
Idaho,
Indiana,
Kansas,
Louisiana,
Maryland,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Utah,
West Virginia,
Wyoming,
