Category: All categories

Region,time to die: (2020)
Utah,100
District of Columbia,93
Rhode Island,91
California,86
Vermont,82
New Hampshire,81
Colorado,79
New York,78
Massachusetts,77
Minnesota,76
Hawaii,76
Oklahoma,76
Nevada,76
Oregon,76
Connecticut,76
Washington,76
Montana,75
Maine,74
Kansas,73
Virginia,72
Texas,71
Nebraska,71
Idaho,71
Arizona,71
New Jersey,70
Wisconsin,70
Indiana,70
Missouri,70
Maryland,70
Florida,70
Tennessee,69
New Mexico,69
Delaware,68
Illinois,67
Alabama,66
Iowa,65
Arkansas,65
Michigan,65
West Virginia,64
Kentucky,64
Georgia,63
South Dakota,62
South Carolina,61
Wyoming,61
North Carolina,61
North Dakota,61
Pennsylvania,61
Ohio,60
Alaska,58
Louisiana,58
Mississippi,55
