Category: All categories

Region,trans: (2008)
Wyoming,100
Nevada,82
West Virginia,76
Wisconsin,74
Delaware,73
California,73
North Dakota,72
Texas,71
Kansas,70
Oklahoma,70
Arkansas,70
Indiana,69
South Dakota,69
Illinois,68
Pennsylvania,68
New Mexico,67
Tennessee,67
Mississippi,67
Nebraska,66
Maine,66
Ohio,66
Colorado,65
Michigan,64
Alabama,64
Missouri,63
South Carolina,62
Florida,59
Iowa,59
Kentucky,59
Utah,58
Vermont,58
Minnesota,56
Louisiana,55
Arizona,55
Idaho,55
New Jersey,55
Alaska,55
Hawaii,54
Connecticut,54
Georgia,54
New Hampshire,54
Montana,54
District of Columbia,53
Maryland,53
Rhode Island,52
North Carolina,52
Oregon,52
Virginia,52
New York,51
Massachusetts,48
Washington,47
