Category: All categories

Region,transphobia: (2009)
Montana,100
Vermont,59
Nevada,40
Idaho,39
Maine,27
New Mexico,26
South Carolina,24
Tennessee,11
District of Columbia,9
Oregon,9
Arizona,6
Maryland,6
North Carolina,6
Wisconsin,4
Michigan,3
New Jersey,3
Pennsylvania,1
California,1
Texas,<1
Alaska,
Alabama,
Arkansas,
Colorado,
Connecticut,
Delaware,
Florida,
Georgia,
Hawaii,
Iowa,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Minnesota,
Missouri,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
New York,
Ohio,
Oklahoma,
Rhode Island,
South Dakota,
Utah,
Virginia,
Washington,
West Virginia,
Wyoming,
