Category: All categories

Region,trauma: (2018)
Vermont,100
Alaska,93
District of Columbia,91
Oregon,89
Colorado,84
Maryland,84
Montana,80
Maine,79
North Dakota,78
Minnesota,77
New Hampshire,76
Delaware,76
Massachusetts,75
Wyoming,72
Idaho,72
Wisconsin,71
Pennsylvania,71
Missouri,70
Nebraska,70
Rhode Island,68
South Dakota,68
Arizona,67
Kansas,66
West Virginia,66
Michigan,66
Tennessee,66
New Mexico,63
Virginia,62
New York,62
Washington,61
Ohio,61
Utah,60
Illinois,60
Iowa,59
Connecticut,59
California,59
North Carolina,58
Arkansas,58
Oklahoma,58
Florida,58
Indiana,57
Kentucky,57
Texas,54
Georgia,52
Nevada,51
Louisiana,51
Hawaii,50
New Jersey,50
South Carolina,48
Alabama,48
Mississippi,47
