Category: All categories

Region,tylenol: (2021)
New Jersey,100
Illinois,99
Connecticut,99
Arkansas,95
Texas,95
South Dakota,95
Vermont,94
Michigan,94
Utah,94
Kentucky,93
West Virginia,93
Pennsylvania,93
Alaska,92
Tennessee,92
Rhode Island,92
Indiana,91
Massachusetts,91
North Dakota,91
Mississippi,90
Ohio,90
Alabama,89
Louisiana,89
Iowa,89
Oklahoma,88
Georgia,87
North Carolina,87
Maryland,87
Virginia,87
South Carolina,87
Nebraska,87
Florida,87
Arizona,86
Missouri,86
Delaware,85
California,85
Wyoming,85
Colorado,84
New York,83
Wisconsin,83
Washington,82
New Hampshire,81
Kansas,81
Maine,80
Montana,80
Minnesota,79
Hawaii,78
Nevada,76
Oregon,75
District of Columbia,73
Idaho,72
New Mexico,70
