Category: All categories

Region,tylenol overdose: (2004)
Alaska,
West Virginia,
Nevada,100
Rhode Island,
Hawaii,
Oklahoma,27
Colorado,26
District of Columbia,
South Carolina,23
Indiana,18
Alabama,17
Michigan,15
Connecticut,13
Washington,13
Illinois,12
Texas,11
Arizona,11
North Carolina,10
Oregon,10
Pennsylvania,9
Virginia,8
Georgia,7
Florida,7
California,5
New York,3
Arkansas,
Delaware,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Minnesota,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Ohio,
South Dakota,
Tennessee,
Utah,
Vermont,
Wisconsin,
Wyoming,
