Category: All categories

Region,weed: (2018)
Nevada,100
Alaska,91
Washington,82
Oklahoma,81
Colorado,81
Maine,79
Michigan,79
Vermont,77
West Virginia,76
California,75
Oregon,73
South Carolina,73
Louisiana,72
Massachusetts,71
Montana,70
Kentucky,69
Ohio,68
Indiana,68
New Mexico,68
Connecticut,67
Georgia,67
Delaware,67
Maryland,67
New Hampshire,67
Rhode Island,66
Pennsylvania,66
Illinois,66
Idaho,65
Nebraska,65
Mississippi,64
Arkansas,64
Alabama,63
North Carolina,62
New Jersey,62
Virginia,62
Iowa,61
Missouri,61
Tennessee,61
Arizona,61
Texas,60
Wisconsin,59
Kansas,59
North Dakota,59
New York,58
District of Columbia,56
Florida,55
Minnesota,55
Wyoming,54
Utah,53
Hawaii,52
South Dakota,51
