Category: All categories

Region,worthless: (2005)
North Dakota,100
Alabama,60
Idaho,51
Rhode Island,45
Alaska,37
Kentucky,34
North Carolina,30
Florida,30
Virginia,29
Pennsylvania,29
Connecticut,28
Indiana,27
Oklahoma,26
Minnesota,25
Georgia,25
Iowa,25
Ohio,25
Vermont,24
Utah,23
New Jersey,22
Illinois,22
Colorado,21
Nevada,21
Michigan,20
Texas,20
Tennessee,19
Washington,19
Arkansas,17
Nebraska,17
Massachusetts,17
New York,17
California,16
Arizona,15
Missouri,15
Wisconsin,15
District of Columbia,15
South Carolina,15
Louisiana,12
Oregon,10
Maryland,10
Kansas,9
Delaware,
Hawaii,
Maine,
Mississippi,
Montana,
New Hampshire,
New Mexico,
South Dakota,
West Virginia,
Wyoming,
