Category: All categories

Region,Avoidant personality disorder: (2016)
Alaska,
Vermont,
West Virginia,100
Maine,88
Arkansas,88
Maryland,84
Rhode Island,
South Carolina,80
Washington,72
North Dakota,
Utah,72
Oklahoma,72
Connecticut,72
Arizona,68
Minnesota,68
Idaho,
Montana,
New Mexico,64
Massachusetts,64
Missouri,64
South Dakota,
Kentucky,64
Oregon,64
Wisconsin,60
Indiana,60
Colorado,60
New Hampshire,60
Virginia,56
Mississippi,56
Nebraska,56
Michigan,56
Kansas,56
Alabama,56
New Jersey,56
Pennsylvania,52
Illinois,52
New York,52
California,52
Iowa,52
Louisiana,52
Ohio,48
North Carolina,48
Florida,48
Hawaii,
Delaware,
Texas,44
District of Columbia,40
Tennessee,40
Georgia,40
Nevada,36
Wyoming,
