Category: All categories

Region,Borderline personality: (2011)
New Hampshire,100
Rhode Island,97
Idaho,97
Maine,97
Alaska,94
North Dakota,93
Montana,93
Wyoming,90
Oregon,87
Vermont,82
Indiana,81
Massachusetts,81
Utah,79
Oklahoma,78
South Dakota,78
West Virginia,76
Ohio,76
District of Columbia,76
Pennsylvania,75
Connecticut,75
Missouri,74
New Mexico,73
Washington,73
Alabama,72
Mississippi,72
Delaware,72
Minnesota,72
South Carolina,71
Kentucky,71
Colorado,70
Michigan,68
Arkansas,68
New York,67
Maryland,67
Kansas,67
Iowa,66
Tennessee,66
New Jersey,64
Virginia,63
Louisiana,63
Wisconsin,63
Hawaii,63
Arizona,62
Nebraska,62
North Carolina,60
Illinois,59
Georgia,56
Florida,55
California,54
Texas,51
Nevada,50
