Category: All categories

Region,Bullying: (2011)
New Jersey,100
Rhode Island,99
South Dakota,97
Delaware,94
West Virginia,92
North Dakota,87
New Hampshire,82
Iowa,79
Kentucky,79
Arkansas,76
Connecticut,75
Kansas,73
Nebraska,72
Indiana,71
Mississippi,70
Louisiana,69
Vermont,69
Maine,68
Pennsylvania,68
Montana,68
Michigan,67
Ohio,66
South Carolina,66
Hawaii,65
New Mexico,62
Nevada,61
Massachusetts,61
Alabama,60
Idaho,60
Wyoming,59
Wisconsin,59
Missouri,59
Maryland,58
Oklahoma,58
New York,57
Tennessee,54
Illinois,52
Alaska,49
Minnesota,48
Texas,48
North Carolina,47
Virginia,47
Arizona,46
Georgia,46
Oregon,45
Utah,44
Florida,43
Colorado,42
Washington,39
California,39
District of Columbia,36
