Category: All categories

Region,Cutting: (2009)
Montana,100
West Virginia,89
Idaho,88
Iowa,83
Wyoming,82
Vermont,80
North Dakota,80
Maine,79
Utah,79
New Hampshire,76
Kansas,75
Delaware,74
Washington,74
New Mexico,73
Ohio,72
Oregon,72
Hawaii,72
Nebraska,72
Wisconsin,71
Mississippi,71
Louisiana,70
Alabama,70
New Jersey,70
Kentucky,69
South Carolina,69
South Dakota,69
Arkansas,68
Oklahoma,68
Colorado,68
Michigan,68
Rhode Island,68
Pennsylvania,68
Alaska,68
Indiana,68
Texas,67
North Carolina,67
Tennessee,66
Connecticut,65
Minnesota,64
Missouri,64
Massachusetts,64
Illinois,63
Nevada,62
Georgia,62
New York,62
Arizona,58
Florida,58
Maryland,57
District of Columbia,53
California,50
Virginia,42
