Category: All categories

Region,Fitting in: (2020)
Montana,100
North Dakota,95
Idaho,85
West Virginia,84
Vermont,83
Iowa,82
New Hampshire,81
Rhode Island,80
Massachusetts,77
Indiana,77
South Dakota,77
Michigan,74
Maine,72
Hawaii,71
Tennessee,71
Missouri,70
Connecticut,70
South Carolina,69
Wisconsin,69
Kentucky,69
Kansas,69
Louisiana,68
Utah,68
Virginia,68
Colorado,68
Arkansas,68
Oregon,67
Maryland,67
Minnesota,66
Washington,66
Ohio,66
Mississippi,65
Pennsylvania,65
Alabama,64
North Carolina,64
New Mexico,63
New Jersey,62
Illinois,62
Georgia,61
Arizona,61
Oklahoma,60
Texas,59
Florida,59
Nebraska,58
California,56
Delaware,56
New York,55
Nevada,54
District of Columbia,43
Wyoming,
Alaska,
