Category: All categories

Region,Histrionic: (2021)
Vermont,100
District of Columbia,98
Rhode Island,91
Oregon,89
Utah,84
Maine,76
Missouri,72
Oklahoma,72
Massachusetts,71
Washington,71
Montana,71
Hawaii,69
Delaware,69
Iowa,69
Minnesota,69
Idaho,69
New Hampshire,67
Illinois,67
Maryland,66
West Virginia,66
Arizona,66
Virginia,64
Colorado,64
New Mexico,64
Pennsylvania,62
Arkansas,62
New Jersey,62
Louisiana,62
Michigan,61
Indiana,61
Tennessee,61
Alaska,61
Kentucky,59
California,59
Kansas,59
Connecticut,57
New York,57
Florida,57
North Carolina,57
Nevada,57
Georgia,57
Ohio,54
South Carolina,54
Texas,54
Alabama,52
Wisconsin,52
North Dakota,50
Mississippi,50
Wyoming,49
Nebraska,49
South Dakota,32
