Category: All categories

Region,Narcissistic personality: (2018)
Maine,100
Vermont,87
Montana,81
Kansas,77
Wyoming,76
Oregon,76
Utah,75
Arkansas,73
Massachusetts,73
Louisiana,71
Minnesota,71
Tennessee,71
Colorado,71
New Hampshire,70
North Dakota,70
Idaho,70
Washington,70
North Carolina,70
West Virginia,69
Michigan,69
Maryland,69
Delaware,69
Pennsylvania,69
Alaska,68
Virginia,67
Connecticut,67
Arizona,67
South Carolina,65
Alabama,65
Oklahoma,64
Hawaii,64
Indiana,63
Kentucky,62
Nevada,62
Wisconsin,62
Missouri,61
New Mexico,61
Iowa,60
Rhode Island,60
New York,60
New Jersey,60
Ohio,60
Florida,59
Illinois,59
District of Columbia,59
Georgia,57
Mississippi,57
South Dakota,54
Nebraska,53
California,53
Texas,51
