Category: All categories

Region,Narcissistic personality disorder: (2017)
Maine,100
Vermont,94
New Hampshire,71
Montana,64
New Mexico,64
Indiana,62
Alaska,62
Wyoming,60
Connecticut,60
Minnesota,59
Rhode Island,58
Wisconsin,57
Oklahoma,57
Tennessee,57
Virginia,57
Massachusetts,56
Louisiana,56
Pennsylvania,56
Oregon,55
Arkansas,54
Washington,54
Ohio,53
Colorado,53
Missouri,53
Maryland,53
West Virginia,52
Idaho,52
North Dakota,51
South Dakota,51
District of Columbia,50
North Carolina,50
Nebraska,50
Iowa,50
Kansas,50
Nevada,50
Illinois,50
South Carolina,50
Utah,49
Kentucky,49
Arizona,49
New York,49
Michigan,48
Delaware,47
Florida,45
Hawaii,45
New Jersey,44
Mississippi,42
Texas,42
California,42
Georgia,40
Alabama,39
