Category: All categories

Region,anorexia: (2018)
Maine,100
Vermont,91
Idaho,91
New Hampshire,89
Connecticut,87
South Dakota,87
Oregon,84
Rhode Island,83
Indiana,81
Minnesota,80
New Mexico,79
Kansas,79
Arkansas,79
Alaska,78
Oklahoma,78
Utah,77
Wisconsin,77
Iowa,77
Kentucky,76
Wyoming,76
North Dakota,74
Missouri,74
Nebraska,73
New York,72
Maryland,72
Massachusetts,72
Washington,71
Texas,70
Colorado,69
Ohio,69
Pennsylvania,69
Alabama,68
Michigan,68
Montana,68
Arizona,68
Delaware,68
Illinois,67
Mississippi,67
Virginia,66
West Virginia,66
Hawaii,66
California,66
District of Columbia,65
New Jersey,65
North Carolina,63
Nevada,63
Tennessee,62
Louisiana,61
Florida,60
South Carolina,58
Georgia,57
