Category: All categories

Region,anxiety: (2013)
Pennsylvania,100
Massachusetts,96
North Dakota,95
Kentucky,93
Maine,93
Rhode Island,93
Vermont,91
New Hampshire,88
Connecticut,88
Minnesota,88
West Virginia,85
New Jersey,85
Louisiana,84
Delaware,84
North Carolina,83
Illinois,83
Virginia,82
Tennessee,82
Montana,82
Maryland,82
Wisconsin,81
New York,81
Ohio,81
Missouri,81
Michigan,80
Indiana,80
Utah,80
Arizona,80
Washington,80
South Carolina,79
Alabama,78
Oklahoma,78
Florida,76
Kansas,76
California,75
South Dakota,75
Arkansas,75
Wyoming,75
New Mexico,74
Georgia,74
Texas,73
Colorado,71
Mississippi,71
Idaho,71
District of Columbia,69
Nebraska,68
Alaska,68
Nevada,68
Hawaii,64
Iowa,64
Oregon,53
