Category: All categories

Region,bipolar: (2017)
Maine,100
West Virginia,99
Wyoming,97
Massachusetts,94
Pennsylvania,93
Indiana,93
Tennessee,92
New Hampshire,92
Rhode Island,90
Delaware,90
Oregon,89
Michigan,89
Mississippi,88
Montana,88
Maryland,87
Idaho,87
Vermont,87
Missouri,86
Ohio,86
Connecticut,86
Kentucky,86
Washington,86
Colorado,86
New York,85
New Mexico,85
Arkansas,84
North Carolina,84
Virginia,84
New Jersey,84
Louisiana,83
Wisconsin,83
Arizona,82
South Dakota,81
Illinois,80
Texas,78
Alabama,78
North Dakota,78
Oklahoma,78
Georgia,78
Iowa,77
Nebraska,77
Minnesota,76
Florida,76
Utah,75
South Carolina,74
California,72
Alaska,71
Kansas,71
District of Columbia,66
Nevada,65
Hawaii,61
