Category: All categories

Region,coming out: (2020)
Utah,100
Indiana,99
Nevada,98
Arkansas,98
Texas,97
Kentucky,96
Missouri,94
Connecticut,94
Michigan,94
Wisconsin,94
West Virginia,93
Mississippi,93
Pennsylvania,92
Louisiana,92
Alabama,92
Kansas,91
Georgia,91
Iowa,90
Oklahoma,90
Arizona,90
Ohio,90
Wyoming,89
Alaska,88
North Carolina,88
North Dakota,88
Maryland,88
New Jersey,88
Minnesota,87
California,87
Nebraska,87
Tennessee,86
Virginia,86
South Carolina,86
Illinois,85
Massachusetts,85
Maine,85
New Mexico,84
Florida,84
Washington,83
Vermont,82
New Hampshire,82
New York,82
Delaware,82
Idaho,82
South Dakota,82
Rhode Island,81
Oregon,79
Colorado,78
Montana,73
Hawaii,70
District of Columbia,55
