Category: All categories

Region,conversion therapy: (2018)
Maine,100
District of Columbia,86
Vermont,67
New Hampshire,56
North Dakota,50
Hawaii,48
Maryland,45
Massachusetts,41
Utah,40
Rhode Island,40
Washington,39
Wisconsin,39
Idaho,37
Colorado,35
Pennsylvania,34
Minnesota,34
Virginia,34
New York,34
Connecticut,34
Michigan,34
Nebraska,33
Delaware,33
Iowa,33
Ohio,30
Montana,29
Missouri,28
Kansas,28
Indiana,28
New Jersey,28
Florida,28
California,27
Arizona,27
Arkansas,27
Alabama,25
Oregon,25
Tennessee,25
West Virginia,25
Kentucky,25
Illinois,24
Louisiana,23
Georgia,23
Oklahoma,23
New Mexico,22
North Carolina,22
Alaska,20
Nevada,20
Texas,19
Mississippi,19
South Carolina,17
South Dakota,17
Wyoming,9
