Category: All categories

Region,crazy ex: (2007)
Delaware,100
South Dakota,51
Kentucky,32
Kansas,20
Tennessee,20
Oklahoma,18
Oregon,17
New Hampshire,17
Missouri,15
New Mexico,14
Connecticut,13
South Carolina,13
Texas,12
Ohio,11
District of Columbia,11
Virginia,11
Georgia,11
Colorado,11
Michigan,10
Indiana,10
Illinois,9
North Carolina,9
Washington,8
Florida,7
Arizona,7
Massachusetts,6
Pennsylvania,6
New Jersey,6
Maryland,6
California,5
New York,4
Alaska,
Alabama,
Arkansas,
Hawaii,
Iowa,
Idaho,
Louisiana,
Maine,
Minnesota,
Mississippi,
Montana,
North Dakota,
Nebraska,
Nevada,
Rhode Island,
Utah,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
