Category: All categories

Region,exgirlfriend: (2014)
Kentucky,100
Wyoming,
Oklahoma,87
Mississippi,76
Arkansas,75
Tennessee,75
South Carolina,75
Ohio,73
Indiana,73
Michigan,73
Missouri,71
Kansas,71
Montana,71
Nebraska,69
Louisiana,69
West Virginia,69
Utah,67
Minnesota,66
Alaska,
Rhode Island,
Idaho,
Pennsylvania,62
Wisconsin,62
Vermont,62
Connecticut,62
Illinois,62
Texas,62
Florida,60
Washington,60
Iowa,58
Georgia,58
Arizona,58
Alabama,58
North Carolina,57
Nevada,57
Colorado,55
Delaware,
Massachusetts,51
Maine,50
New Jersey,50
New Mexico,50
Virginia,48
New York,48
California,46
Maryland,44
Hawaii,42
New Hampshire,42
South Dakota,
District of Columbia,35
Oregon,33
North Dakota,
