Category: All categories

Region,family stress: (2010)
Delaware,
Arkansas,100
Mississippi,90
South Dakota,
New Mexico,80
Kentucky,65
Maine,
Wisconsin,58
Nebraska,53
Minnesota,41
Maryland,41
New Hampshire,
Ohio,39
Iowa,39
Missouri,36
South Carolina,36
Arizona,36
Utah,36
Michigan,36
North Carolina,34
Rhode Island,
Tennessee,31
District of Columbia,
Pennsylvania,29
Illinois,29
New York,29
Kansas,26
New Jersey,26
Massachusetts,26
Texas,26
Oregon,26
Washington,26
Colorado,26
Hawaii,
Georgia,24
Connecticut,24
Florida,21
California,19
Nevada,17
Oklahoma,14
Virginia,12
Indiana,12
Alaska,
Alabama,
Idaho,
Louisiana,
Montana,
North Dakota,
Vermont,
West Virginia,
Wyoming,
