Category: All categories

Region,fast death: (2014)
North Dakota,
Delaware,
South Dakota,
Montana,
Nevada,100
Kansas,100
Rhode Island,
Iowa,96
Idaho,88
Michigan,88
Alaska,
Kentucky,84
South Carolina,84
Arizona,84
Mississippi,80
Colorado,80
Arkansas,80
West Virginia,
New Hampshire,76
North Carolina,76
Oklahoma,76
Nebraska,76
Texas,72
Wisconsin,72
Illinois,72
Alabama,68
Florida,68
Tennessee,68
Minnesota,68
Missouri,64
Pennsylvania,64
Maine,
Louisiana,64
Ohio,64
Georgia,64
California,60
New York,60
Hawaii,
New Jersey,60
Utah,60
Washington,56
Wyoming,
New Mexico,56
Indiana,52
Virginia,52
Maryland,48
Connecticut,48
District of Columbia,
Massachusetts,44
Oregon,36
Vermont,
