Category: All categories

Region,guilty: (2012)
Delaware,100
Hawaii,98
South Carolina,94
Georgia,88
West Virginia,87
Nevada,86
New York,86
Louisiana,83
California,83
Pennsylvania,83
New Jersey,82
Mississippi,82
Alaska,81
Florida,81
Rhode Island,80
Arkansas,80
Maryland,79
Texas,79
Alabama,79
District of Columbia,78
New Mexico,78
Connecticut,77
Virginia,76
Tennessee,76
Wyoming,75
Nebraska,74
Kansas,73
Indiana,72
Maine,72
North Dakota,71
Montana,71
Illinois,71
Kentucky,71
Missouri,71
Arizona,71
South Dakota,70
Iowa,70
Idaho,69
Massachusetts,69
Oklahoma,68
Michigan,68
Oregon,67
New Hampshire,67
Ohio,67
North Carolina,65
Wisconsin,65
Washington,65
Vermont,64
Minnesota,64
Utah,62
Colorado,61
