Category: All categories

Region,hanging: (2013)
Wyoming,100
Colorado,98
North Carolina,97
West Virginia,91
Montana,91
North Dakota,88
Wisconsin,86
Vermont,86
Maine,85
Indiana,85
South Dakota,83
Alaska,82
Idaho,81
New Hampshire,81
Arkansas,80
Delaware,79
Tennessee,79
South Carolina,79
Louisiana,78
Virginia,78
Washington,77
Connecticut,76
Minnesota,76
Ohio,76
Missouri,75
New Mexico,75
Nebraska,75
Utah,75
Michigan,74
Rhode Island,74
Massachusetts,74
Pennsylvania,74
Oklahoma,73
Alabama,73
New Jersey,71
Illinois,70
Arizona,70
Maryland,69
Kentucky,69
Kansas,69
Florida,68
Hawaii,68
Georgia,68
Iowa,67
Texas,66
Mississippi,66
California,65
New York,64
Nevada,58
District of Columbia,57
Oregon,52
