Category: All categories

Region,hell: (2014)
Mississippi,100
Utah,96
Montana,96
Tennessee,91
Kentucky,91
Wyoming,90
Arizona,89
Oklahoma,89
Ohio,89
West Virginia,88
Indiana,87
South Carolina,87
Alaska,87
North Carolina,86
Louisiana,86
Michigan,86
Alabama,86
Arkansas,85
North Dakota,84
Missouri,84
South Dakota,82
Texas,81
Kansas,81
Nevada,80
Illinois,79
Florida,79
Vermont,79
Idaho,78
Georgia,78
Washington,77
Pennsylvania,77
New Mexico,76
Massachusetts,76
Colorado,75
Maine,75
Wisconsin,75
Rhode Island,74
Delaware,74
Iowa,73
Maryland,72
New Jersey,72
Nebraska,72
New York,71
New Hampshire,68
California,67
Virginia,67
District of Columbia,66
Minnesota,65
Connecticut,64
Hawaii,58
Oregon,56
