Category: All categories

Region,homophobia: (2009)
Vermont,100
Nebraska,64
Tennessee,61
Oregon,58
New York,55
Arkansas,52
Massachusetts,48
Iowa,48
Minnesota,47
Washington,47
Michigan,45
Maryland,45
Pennsylvania,44
North Dakota,44
Wisconsin,44
New Mexico,42
Louisiana,42
South Carolina,42
Connecticut,41
Indiana,41
Mississippi,39
Missouri,38
New Jersey,38
Illinois,36
North Carolina,36
Colorado,36
Arizona,35
California,32
Ohio,32
Kansas,30
District of Columbia,30
New Hampshire,30
Florida,30
Texas,27
Georgia,27
Oklahoma,26
Alabama,26
Kentucky,25
Rhode Island,23
Virginia,20
Utah,19
Nevada,16
Alaska,
Delaware,
Hawaii,
Idaho,
Maine,
Montana,
South Dakota,
West Virginia,
Wyoming,
