Category: All categories

Region,jumping: (2007)
Montana,100
Maine,90
New Hampshire,89
Vermont,88
Utah,87
Rhode Island,84
Colorado,84
Idaho,84
South Dakota,82
Wyoming,80
Kansas,79
Wisconsin,78
South Carolina,77
Kentucky,77
Arizona,76
West Virginia,75
Oregon,75
North Dakota,75
Nebraska,74
Indiana,73
New Mexico,73
Iowa,73
New Jersey,72
North Carolina,72
Nevada,71
Alabama,71
Connecticut,71
Ohio,71
Georgia,70
Washington,69
Oklahoma,68
Virginia,68
Alaska,68
Louisiana,68
Michigan,68
Pennsylvania,68
California,68
Delaware,67
Mississippi,67
Arkansas,64
Minnesota,64
Tennessee,63
Maryland,63
Illinois,63
Hawaii,63
Missouri,63
Florida,62
Massachusetts,62
Texas,60
District of Columbia,57
New York,54
