Category: All categories

Region,no friends: (2020)
Hawaii,100
Oklahoma,99
Alaska,97
Delaware,94
North Dakota,93
Alabama,88
Nevada,85
Nebraska,85
South Dakota,84
Maine,84
Kentucky,84
District of Columbia,84
Massachusetts,83
Indiana,83
California,83
New Jersey,83
Utah,83
Maryland,83
Washington,83
New York,82
Virginia,82
Wyoming,81
Kansas,81
Connecticut,81
Rhode Island,81
Michigan,81
Arkansas,80
Missouri,79
Arizona,79
Iowa,79
Texas,78
West Virginia,78
Wisconsin,78
Louisiana,78
New Mexico,78
Georgia,78
Ohio,76
Vermont,76
Pennsylvania,76
Colorado,75
Mississippi,73
Idaho,73
Florida,73
North Carolina,73
Minnesota,72
Illinois,71
Oregon,69
South Carolina,68
Tennessee,67
New Hampshire,65
Montana,60
