Category: All categories

Region,overdose: (2021)
West Virginia,100
Wyoming,99
Vermont,95
Maine,92
Alaska,88
North Dakota,86
South Dakota,83
Tennessee,80
Missouri,80
New Hampshire,80
Arkansas,78
Minnesota,78
Idaho,78
Montana,77
Kentucky,77
Indiana,77
Pennsylvania,77
Wisconsin,76
Colorado,76
Nebraska,76
Ohio,75
Arizona,75
Massachusetts,74
New Mexico,74
Utah,73
Rhode Island,73
North Carolina,72
Washington,72
Oklahoma,71
Kansas,70
Delaware,68
Oregon,68
Virginia,68
Maryland,68
Iowa,67
Mississippi,67
Texas,66
Michigan,65
California,65
Illinois,65
Florida,64
Louisiana,63
District of Columbia,63
Connecticut,63
Nevada,63
Alabama,63
New York,60
South Carolina,59
Georgia,58
Hawaii,56
New Jersey,52
