Category: All categories

Region,painless death: (2018)
Vermont,
Delaware,
Alaska,
Mississippi,
Maryland,
Rhode Island,
New Mexico,
Connecticut,
Ohio,100
Pennsylvania,
Louisiana,
Arkansas,
Virginia,
Illinois,66
Utah,
Florida,66
Michigan,
Tennessee,
New York,66
Nebraska,
Minnesota,
Washington,
Arizona,
Texas,33
New Jersey,33
California,33
Georgia,
Indiana,
Wisconsin,
Massachusetts,
Kansas,
Kentucky,
Alabama,
Colorado,
Oregon,
North Carolina,
District of Columbia,
Hawaii,
Iowa,
Idaho,
Maine,
Missouri,
Montana,
North Dakota,
New Hampshire,
Nevada,
Oklahoma,
South Carolina,
South Dakota,
West Virginia,
Wyoming,
