Category: All categories

Region,poisoning: (2020)
West Virginia,100
Maine,98
Montana,98
Indiana,95
Oregon,93
Michigan,93
Ohio,93
Wyoming,92
North Dakota,92
Vermont,91
Idaho,91
New Hampshire,91
Rhode Island,91
Missouri,90
South Dakota,90
Alaska,89
Kentucky,88
Hawaii,88
Wisconsin,88
Pennsylvania,88
Utah,88
Illinois,86
Arizona,86
Alabama,85
Minnesota,84
Tennessee,84
Washington,84
South Carolina,84
Virginia,83
Colorado,83
Connecticut,83
Oklahoma,83
Nebraska,83
North Carolina,81
Iowa,80
New York,79
Florida,79
Delaware,79
Kansas,79
Maryland,79
Massachusetts,79
Georgia,78
New Mexico,78
Mississippi,77
Texas,77
Nevada,76
New Jersey,75
Arkansas,75
Louisiana,74
California,73
District of Columbia,68
