Category: All categories

Region,queer: (2018)
District of Columbia,100
Massachusetts,68
Vermont,64
Oregon,61
New York,59
Washington,54
Rhode Island,52
Minnesota,49
California,49
Colorado,47
Illinois,45
Utah,45
Missouri,45
Maine,45
Kansas,42
Maryland,41
Virginia,40
Pennsylvania,40
New Hampshire,39
Arizona,39
Connecticut,38
Nebraska,37
Alaska,37
North Carolina,36
Georgia,36
Ohio,36
Iowa,35
New Jersey,35
Delaware,35
Michigan,34
Wisconsin,34
Montana,34
Hawaii,33
Idaho,32
Nevada,31
Kentucky,31
Indiana,31
Louisiana,31
Texas,30
Oklahoma,30
Tennessee,30
New Mexico,30
South Dakota,29
North Dakota,29
Florida,28
Arkansas,28
Wyoming,27
West Virginia,27
South Carolina,27
Alabama,26
Mississippi,22
