Category: All categories

Region,self-injury: (2007)
Vermont,
Mississippi,
Alaska,
South Dakota,
Hawaii,
Idaho,
Arkansas,
Rhode Island,
Maine,
Kentucky,
Pennsylvania,100
New Jersey,
Illinois,92
Minnesota,
District of Columbia,
New York,71
Massachusetts,71
North Carolina,64
Maryland,
Florida,57
Michigan,
Indiana,
Ohio,
Washington,
Arizona,
Virginia,42
California,35
Georgia,
Wisconsin,
Connecticut,
Texas,28
Missouri,
Alabama,
Colorado,
Delaware,
Iowa,
Kansas,
Louisiana,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
South Carolina,
Tennessee,
Utah,
West Virginia,
Wyoming,
