Category: All categories

Region,single: (2016)
Virginia,100
Vermont,99
Mississippi,94
Oklahoma,94
Kansas,94
Minnesota,93
Idaho,92
New Hampshire,92
Arkansas,92
Colorado,92
Maryland,89
Missouri,89
Washington,88
Louisiana,88
Montana,87
Alaska,87
Michigan,87
North Carolina,87
Kentucky,86
West Virginia,86
Oregon,86
Indiana,86
Utah,85
Alabama,85
Maine,85
Iowa,85
New Mexico,85
California,85
Delaware,84
Massachusetts,84
Nebraska,84
South Carolina,84
Tennessee,83
New York,83
Wisconsin,82
Georgia,82
Illinois,81
Connecticut,81
Nevada,81
Ohio,81
Pennsylvania,81
North Dakota,80
Florida,80
South Dakota,79
District of Columbia,79
Hawaii,78
Texas,78
Rhode Island,77
New Jersey,77
Wyoming,77
Arizona,76
