Category: All categories

Region,suicidal friend: (2013)
North Dakota,
West Virginia,
Wyoming,
Wisconsin,100
Rhode Island,
New Mexico,
Connecticut,
Montana,
New Hampshire,
Hawaii,
Pennsylvania,58
Iowa,
Oklahoma,
Washington,50
Idaho,
Virginia,50
North Carolina,50
Maryland,
Michigan,50
Massachusetts,41
Nevada,
California,41
Illinois,41
New York,41
Louisiana,
Utah,
Tennessee,
District of Columbia,
Texas,33
Kentucky,
Colorado,
Georgia,33
Missouri,
Oregon,
South Carolina,
Florida,25
Indiana,
Minnesota,
Kansas,
Arizona,
Ohio,16
New Jersey,8
Alaska,
Alabama,
Arkansas,
Delaware,
Maine,
Mississippi,
Nebraska,
South Dakota,
Vermont,
