Category: All categories

Region,trans: (2005)
North Dakota,100
Nevada,96
California,90
Ohio,88
Oklahoma,87
Arkansas,87
New Mexico,87
Wisconsin,85
Michigan,85
Indiana,84
Texas,83
Missouri,82
Nebraska,82
Pennsylvania,82
Hawaii,81
Colorado,81
Tennessee,79
Delaware,79
Kentucky,77
Illinois,77
Mississippi,77
Minnesota,77
Wyoming,76
Kansas,76
Montana,74
Arizona,73
New Jersey,71
Iowa,71
Maryland,71
New Hampshire,71
Alaska,71
South Dakota,71
Maine,70
Alabama,69
Virginia,68
South Carolina,67
Connecticut,67
Georgia,66
Florida,64
North Carolina,64
West Virginia,64
Utah,64
District of Columbia,64
Oregon,62
Rhode Island,62
Idaho,61
Massachusetts,59
Washington,56
Vermont,56
Louisiana,54
New York,53
