Category: All categories

Region,transphobia: (2011)
Wyoming,
Hawaii,100
Vermont,89
New Mexico,60
Kansas,42
New Hampshire,32
Wisconsin,28
Oregon,25
North Carolina,21
Arkansas,17
Iowa,17
Oklahoma,17
Louisiana,14
Alabama,14
Maryland,14
Kentucky,10
Utah,10
Washington,10
Indiana,10
Minnesota,7
New Jersey,7
Virginia,7
California,7
Michigan,7
Arizona,7
Ohio,3
Massachusetts,3
Georgia,3
Illinois,3
Pennsylvania,3
New York,3
Florida,3
Texas,<1
Alaska,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Idaho,
Maine,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
West Virginia,
