Category: All categories

Region,tylenol: (2016)
West Virginia,100
South Dakota,95
Michigan,94
Texas,91
Arkansas,90
Ohio,89
Tennessee,88
Missouri,87
Oklahoma,87
Indiana,87
Delaware,87
Mississippi,86
Massachusetts,86
Pennsylvania,85
Illinois,85
Kentucky,83
New York,83
Maine,83
North Dakota,83
Alabama,83
New Hampshire,82
Nebraska,82
Hawaii,82
Maryland,81
Alaska,81
Louisiana,80
Idaho,80
Washington,79
Arizona,78
Utah,77
South Carolina,77
Wyoming,77
Georgia,77
Montana,77
New Jersey,77
Iowa,76
Minnesota,75
Vermont,75
Virginia,74
Florida,74
New Mexico,74
California,74
Colorado,74
Rhode Island,73
Connecticut,72
North Carolina,72
Wisconsin,72
District of Columbia,72
Kansas,69
Nevada,63
Oregon,63
