Category: All categories

Region,weed: (2016)
Oregon,100
Colorado,99
Nevada,98
Washington,97
Rhode Island,89
Louisiana,89
West Virginia,89
Michigan,85
Oklahoma,85
Arkansas,83
Alaska,82
California,82
Indiana,82
Tennessee,82
District of Columbia,79
Maine,79
New Mexico,79
Montana,78
Mississippi,78
Arizona,77
Alabama,77
North Carolina,75
Georgia,75
Kentucky,75
Kansas,75
South Carolina,74
Massachusetts,74
Texas,74
Missouri,74
New Hampshire,73
Connecticut,73
Ohio,73
New York,72
Delaware,72
Pennsylvania,72
Illinois,71
Iowa,71
Wyoming,71
Florida,70
Virginia,69
Vermont,69
Minnesota,69
Nebraska,69
Idaho,68
Maryland,66
New Jersey,65
Utah,65
Wisconsin,64
South Dakota,63
North Dakota,62
Hawaii,59
